file_name,gamma,t_half_2,t_half_3,converged,iterations,objective_value
bs_180218_155416.csv,2.05270970603,3.92277284385,31.4946378399,True,93,164.384002314
bs_180218_155423.csv,2.42923832636,4.8962316036,34.2331599487,True,64,151.71520763
bs_180218_155427.csv,2.40806602311,4.40504081539,31.399960249,True,68,168.603632385
bs_180218_155432.csv,2.33456797096,4.30440412006,27.6452108808,True,60,159.405378057
bs_180218_155436.csv,2.28477420563,4.19690618468,32.0553773943,True,67,172.06282562
bs_180218_155442.csv,2.28750412742,5.06340884113,32.0925984299,True,71,160.747668045
bs_180218_155446.csv,1.71865701915,3.34142734914,34.45133304,True,70,172.335136188
bs_180218_155451.csv,2.48532496871,5.4510542411,34.1171693879,True,70,158.073235744
bs_180218_155456.csv,2.0062207766,3.18523736357,28.5377478667,True,85,173.441790021
bs_180218_155502.csv,2.5769444183,5.31810753596,39.8705355929,True,79,150.486844361
bs_180218_155508.csv,2.06281939023,4.05656828818,28.2462494968,True,77,157.581379835
bs_180218_155513.csv,2.01883217019,3.60187226734,32.1363042842,True,64,168.259330344
bs_180218_155518.csv,1.91923062935,3.6676441258,31.0441303294,True,71,170.628361146
bs_180218_155523.csv,1.92711061849,3.49063287674,32.3202998408,True,53,181.653722015
bs_180218_155527.csv,2.06186766966,4.21185555875,32.1417179736,True,64,177.272382475
bs_180218_155532.csv,2.35750038773,5.62963747943,31.7211198743,True,76,151.723917421
bs_180218_155536.csv,2.31011930294,5.33302444428,32.7985034826,True,55,162.741334383
bs_180218_155540.csv,2.29241239205,4.30331090452,30.4298322552,True,68,168.291061322
bs_180218_155545.csv,2.27322087891,5.00843083465,29.1372652251,True,66,155.216125258
bs_180218_155550.csv,2.28972349934,4.45626244946,35.7212840736,True,68,160.684576814
bs_180218_155555.csv,2.4941917957,5.06690447268,35.1499417975,True,64,159.97623322
bs_180218_155559.csv,2.01647954953,4.06732623529,34.9281665978,True,67,161.974458886
bs_180218_155604.csv,2.18513439984,3.81714738612,29.8022232872,True,74,175.774565528
bs_180218_155610.csv,2.09863550674,4.08218312763,30.4862047238,True,58,170.823713124
bs_180218_155614.csv,1.99013896133,4.16503613765,33.0300264002,True,58,156.826202596
bs_180218_155618.csv,2.38549658021,5.4422852147,39.7649903258,True,76,145.395498976
bs_180218_155623.csv,1.96376813745,3.55751037824,26.9110746197,True,88,172.904360338
bs_180218_155629.csv,2.22206311195,5.10557780355,31.8662517109,True,70,152.121236348
bs_180218_155634.csv,1.82666942175,3.67806959768,27.3533508291,True,86,181.999381569
